ID,Nome Fantasia,Atividade,Site,Preco Anterior,Preco Atual,Variacao,Status,Ultima Atualizacao
"SS0034","Boulevard Avenida São Sebastião","03 - Meio de Hospedagem","http://boulevardsaosebastiao.com.br/",,,,Aguardando,
"SS0570","Castelo das Artes Comunicação e Eventos","04 - Organizadora de Eventos","https://www.ocastelodasartes.com",,,,Aguardando,
"SS0099","Hotel Guarda Mor","03 - Meio de Hospedagem","https://www.hotelguardamor.com.br",,,,Aguardando,
"SS0108","Hotel Recanto dos Pássaros","03 - Meio de Hospedagem","https://www.recantodospassaros.tur.br",,,,Aguardando,
"SS0480","Localiza Rent a Car","13 - Locadora de veículos para turistas","https://www.localiza.com",,,,Aguardando,
"SS0946","Pararanga Náutica","08 - Empreendimento de Apoio ao Turismo Náutico ou à Pesca Desportiva","https://www.pararanga.com.br",,,,Aguardando,
"SS0155","Porto Grande Hotel &amp Convention","03 - Meio de Hospedagem","https://www.portograndehotel.com.br",,,,Aguardando,
"SS0363","Proa Turismo","02 - Agência de Turismo","https://www.proaturismo.com.br",,,,Aguardando,
"SS0380","Azimuth Escola Náutica","08 - Empreendimento de Apoio ao Turismo Náutico ou à Pesca Desportiva","https://www.azimuthnautica.com.br",,,,Aguardando,
"SS0334","Conheça Ilhabela","02 - Agência de Turismo","https://www.conhecailhabela.com.br",,,,Aguardando,
"SS0944","Espaço Arandela","09 - Casa de espetáculos e equipamento de animação turística","https://www.espacoarandela.com.br",,,,Aguardando,
"SS0386","Fridsland &amp Co. LTDA","08 - Empreendimento de Apoio ao Turismo Náutico ou à Pesca Desportiva","https://www.fridsland.com.br",,,,Aguardando,
"SS0095","Hotel do Sol Executive","03 - Meio de Hospedagem","https://www.hoteldosolexecutive.com.br",,,,Aguardando,
"SS0114","Hotel Veleiro","03 - Meio de Hospedagem","https://www.hotelveleiro.com",,,,Aguardando,
"SS0392","Key Marine","08 - Empreendimento de Apoio ao Turismo Náutico ou à Pesca Desportiva","https://www.lojakeymarine.com.br",,,,Aguardando,
"SS0393","Lemar Náutica","08 - Empreendimento de Apoio ao Turismo Náutico ou à Pesca Desportiva","https://www.lemarnautica.com.br",,,,Aguardando,
"SS0406","MB Lanchas","08 - Empreendimento de Apoio ao Turismo Náutico ou à Pesca Desportiva","https://www.mblanchas.com.br",,,,Aguardando,
"SS0377","Voosh Viagens e Turismo","02 - Agência de Turismo","https://www.vooshviagens.com.br",,,,Aguardando,
"SS0004","Camping do Mazinho","01 - Acampamento Turístico","https://www.campingdomazinho.com.br",,,,Aguardando,
"SS0534","Casa Mira","12 - Prestador de Infraestrutura de apoio para eventos","https://www.mira.casa",,,,Aguardando,
"SS0055","Ciribaí Praia Hotel","03 - Meio de Hospedagem","https://www.ciribaipraiahotel.com.br",,,,Aguardando,
"SS0617","Brasileira Gourmet","15 - Restaurante cafeteria bar e similares","https://www.brasileiragourmet.com",,,,Aguardando,
"SS0150","Paúba Beach Hotel","03 - Meio de Hospedagem","https://www.paubabeach.com.br",,,,Aguardando,
"SS0151","Paúba Praia Hotel","03 - Meio de Hospedagem","https://www.paubapraiahotel.com.br",,,,Aguardando,
"SS0156","Porto Paúba","03 - Meio de Hospedagem","https://www.portopauba.com.br",,,,Aguardando,
"SS0260","Pousada Vila Ipuan","03 - Meio de Hospedagem","https://www.pousadavilaipuan.com.br",,,,Aguardando,
"SS0466","Residencial Marina del Sol","03 - Meio de Hospedagem","https://www.marinadelsol.com.br",,,,Aguardando,
"SS0297","Tartarugas de Paúba","03 - Meio de Hospedagem","https://www.pousadatartarugasdepauba.com.br",,,,Aguardando,
"SS0016","Amora Hotel","03 - Meio de Hospedagem","https://www.amorahotel.com.br",,,,Aguardando,
"SS0017","Amoreiras Hotel Pousada","03 - Meio de Hospedagem","https://www.amoreiras.com.br",,,,Aguardando,
"SS0020","Arco Iris I","03 - Meio de Hospedagem","https://www.arcoirischales.com.br",,,,Aguardando,
"SS0022","Arco-Íris II","03 - Meio de Hospedagem","https://www.arcoirischales.com.br",,,,Aguardando,
"SS0026","Azul Banana","03 - Meio de Hospedagem","https://www.azulbanana.com.br",,,,Aguardando,
"SS0164","Beach Camp Maresias","03 - Meio de Hospedagem","https://www.beachcamp.com.br",,,,Aguardando,
"SS0031","Beach Hotel Maresias","03 - Meio de Hospedagem","https://www.maresiasbeachhotel.com.br",,,,Aguardando,
"SS0049","Chalés Água Grande","03 - Meio de Hospedagem","https://www.chalesaguagrande.com",,,,Aguardando,
"SS0036","Chalés Cabelo Maresias","03 - Meio de Hospedagem","https://www.cabelomaresias.com/",,,,Aguardando,
"SS0051","Chalés do Paulo","03 - Meio de Hospedagem","https://www.chalesdopaulomaresias.com",,,,Aguardando,
"SS0054","Chili-In Suites Maresias","03 - Meio de Hospedagem","https://www.chiliinmaresias.com.br",,,,Aguardando,
"SS0057","Coconut's Maresias Hotel","03 - Meio de Hospedagem","https://www.coconutshotel.com.br",,,,Aguardando,
"SS0058","Condomínio Verdes Mares","03 - Meio de Hospedagem","https://www.pousadaverdesmares.com.br",,,,Aguardando,
"SS0059","Costa Verde Road Trips","03 - Meio de Hospedagem","https://www.costaverderoadtrips.com.br",,,,Aguardando,
"SS0061","Delta Maresias Club","03 - Meio de Hospedagem","https://www.deltamaresiasclub.com.br",,,,Aguardando,
"SS0062","Descanso do Cansado","03 - Meio de Hospedagem","https://www.pousadadescansodocansado.com.br",,,,Aguardando,
"SS0065","Duke Beach Hotel Maresias","03 - Meio de Hospedagem","https://www.dukebeach.com.br",,,,Aguardando,
"SS0186","EBrasil Transportes (Villa Garden Maresias)","03 - Meio de Hospedagem","https://www.villagardenmaresias.com.br/br/",,,,Aguardando,
"SS0637","Chocomel Doces","15 - Restaurante cafeteria bar e similares","https://chocomel-doces.goomer.app/menu",,,,Aguardando,
"SS0082","Hospedaria Recanto da Barra","03 - Meio de Hospedagem","https://www.facebook.com/recantodabarramaresias",,,,Aguardando,
"SS0084","Hostel Caiçara Maresias","03 - Meio de Hospedagem","https://www.hostelcaicara.com.br/",,,,Aguardando,
"SS0096","Hotel e Pousada Canto Mágico","03 - Meio de Hospedagem","https://www.cantomagico.com.br",,,,Aguardando,
"SS0097","Hotel e Pousada Katmandu","03 - Meio de Hospedagem","https://www.katmandumaresias.com.br",,,,Aguardando,
"SS0101","Hotel Kiribati","03 - Meio de Hospedagem","https://www.hotelkiribati.com.br",,,,Aguardando,
"SS0115","HPC Maresias (Hotel Pousada dos Condes)","03 - Meio de Hospedagem","https://www.pousadadoscondes.com.br",,,,Aguardando,
"SS0094","I.R Taveira Boutique Hotel (Hotel Canto do Rio Maresias)","03 - Meio de Hospedagem","https://www.hotelcantodorio.com.br",,,,Aguardando,
"SS0118","Jungle Beach","03 - Meio de Hospedagem","https://www.junglebeach.tur.br",,,,Aguardando,
"SS0125","KB Empreendimentos Hoteleiros LTDA (Maui Maresias)","03 - Meio de Hospedagem","https://www.mauimaresias.com.br",,,,Aguardando,
"SS0126","Kyrios Pousada","03 - Meio de Hospedagem","https://www.kyriospousada.com.br",,,,Aguardando,
"SS0130","Lua Chalés","03 - Meio de Hospedagem","https://www.luachalesmaresias.com.br",,,,Aguardando,
"SS0518","Luai Cabanas","10 - Centro de convenções","https://www.luaicabanas.com.br",,,,Aguardando,
"SS0958","Daluka Sorvetes e Cia","15 - Restaurante cafeteria bar e similares","https://daluka-sorvetes-e-cia.ola.click/",,,,Aguardando,
"SS0136","Marerê","03 - Meio de Hospedagem","https://www.pousadamarere.com",,,,Aguardando,
"SS0348","Maresias de Itu - Residencial","03 - Meio de Hospedagem","https://maresiasdeitu.negocio.site/",,,,Aguardando,
"SS0137","Maresias Hostel","03 - Meio de Hospedagem","https://www.maresiashostel.com.br",,,,Aguardando,
"SS0139","Maresias Praia Hotel","03 - Meio de Hospedagem","https://www.maresiaspraiahotel.com.br",,,,Aguardando,
"SS0447","Maresias Tur","11 - Prestador especializado em segmentos turístico","https://www.maresiastur.com.br",,,,Aguardando,
"SS0645","Deck Bar Canoa Barra do Una","15 - Restaurante cafeteria bar e similares","https://bistrocanoa.business.site",,,,Aguardando,
"SS0945","Olisa Hotel Boutique","03 - Meio de Hospedagem","https://www.olisa.com.br",,,,Aguardando,
"SS0159","Pousada Aysu Maresias","03 - Meio de Hospedagem","https://aysumaresias.com.br/contato/",,,,Aguardando,
"SS0028","Pousada Azul da Cor do Mar","03 - Meio de Hospedagem","https://www.azuldacordomar.com.br",,,,Aguardando,
"SS0169","Pousada Brig","03 - Meio de Hospedagem","https://www.pousadabrigmaresias.com.br",,,,Aguardando,
"SS0176","Pousada Cantos das Estrelas","03 - Meio de Hospedagem","https://www.pousadamardeny.com.br",,,,Aguardando,
"SS0180","Pousada Catavento","03 - Meio de Hospedagem","https://www.chalescataventomaresias.com.br/",,,,Aguardando,
"SS0191","Pousada Delta Mar Maresias","03 - Meio de Hospedagem","https://www.deltamarpousada.com.br",,,,Aguardando,
"SS0202","Pousada Frente Mar","03 - Meio de Hospedagem","https://www.frentemar.com.br",,,,Aguardando,
"SS0205","Pousada In Bali Maresias","03 - Meio de Hospedagem","https://www.pousadainbali.com.br/",,,,Aguardando,
"SS0212","Pousada Mandala Maresias","03 - Meio de Hospedagem","https://www.pousadamandalamaresias.com.br/contact.html",,,,Aguardando,
"SS0214","Pousada Maréatoa","03 - Meio de Hospedagem","https://www.mareatoa.com.br",,,,Aguardando,
"SS0215","Pousada Maresias Beira-Mar","03 - Meio de Hospedagem","https://www.maresiasbeiramar.com.br",,,,Aguardando,
"SS0217","Pousada Mosaico Brasil em Maresias","03 - Meio de Hospedagem","https://www.pousadamosaico.com.br",,,,Aguardando,
"SS0218","Pousada Mosaico Maresias","03 - Meio de Hospedagem","https://www.pousadamosaico.com.br",,,,Aguardando,
"SS0219","Pousada Mundial","03 - Meio de Hospedagem","https://www.pousadamundial.com.br",,,,Aguardando,
"SS0222","Pousada Nusa Dua Maresias","03 - Meio de Hospedagem","https://www.pousadanusadua.com",,,,Aguardando,
"SS0223","Pousada Pantai Maresias","03 - Meio de Hospedagem","https://www.pantaimaresias.com.br",,,,Aguardando,
"SS0225","Pousada Pé da Mata","03 - Meio de Hospedagem","https://www.pedamata.com",,,,Aguardando,
"SS0228","Pousada Porto Mare","03 - Meio de Hospedagem","https://www.pousadaportomare.com.br",,,,Aguardando,
"SS0230","Pousada Pura Vida","03 - Meio de Hospedagem","https://www.puravidamaresias.com.br",,,,Aguardando,
"SS0235","Pousada Refúgio de Maresias","03 - Meio de Hospedagem","https://www.refugiomaresias.com.br",,,,Aguardando,
"SS0247","Pousada Toca da Anita","03 - Meio de Hospedagem","https://tocadaanitamaresias.com.br/",,,,Aguardando,
"SS0248","Pousada Toca da Praia","03 - Meio de Hospedagem","https://www.tocadapraia.com.br",,,,Aguardando,
"SS0254","Pousada Vida Mansa","03 - Meio de Hospedagem","https://www.vidamansamaresias.com.br/",,,,Aguardando,
"SS0263","Pousada Vila Maresias","03 - Meio de Hospedagem","https://www.vilamaresias.com.br",,,,Aguardando,
"SS0265","Pousada Villa Blu","03 - Meio de Hospedagem","https://www.villablumaresias.com.br",,,,Aguardando,
"SS0275","Recanto da Nina","03 - Meio de Hospedagem","https://pousadamaresiasrecantonina.com.br/",,,,Aguardando,
"SS0659","Familia Restaurante","15 - Restaurante cafeteria bar e similares","https://www.familiarestaurante.com.br",,,,Aguardando,
"SS0667","Guato Gastronomia","15 - Restaurante cafeteria bar e similares","https://www.guato.com.br",,,,Aguardando,
"SS0478","Sirena Maresias","09 - Casa de espetáculos e equipamento de animação turística","https://www.sirena.com.br/",,,,Aguardando,
"SS0367","Maresias Escola Náutica","08 - Empreendimento de Apoio ao Turismo Náutico ou à Pesca Desportiva","https://www.ecoturmaresias.com",,,,Aguardando,
"SS0296","Tambayba Hotel Pousada","03 - Meio de Hospedagem","https://www.tambayba.com.br",,,,Aguardando,
"SS0854","Jota R Pizzaria &amp Restaurante","15 - Restaurante cafeteria bar e similares","https://www.ifood.com.br/delivery/sao-sebastiao-sp/pizzaria-jota-r-barra-do-una/4fbafe93-df7c-40aa-8d05-66a474d91b97?utm_medium=ReserveGoogle",,,,Aguardando,
"SS0302","Tubes Maresias","03 - Meio de Hospedagem","https://www.tubesmaresias.com.br/",,,,Aguardando,
"SS0305","Verdes Mares","03 - Meio de Hospedagem","https://www.pousadaverdesmares.com.br",,,,Aguardando,
"SS0307","Vila Maremota","03 - Meio de Hospedagem","https://www.villamaremotta.com.br",,,,Aguardando,
"SS0308","Vilarejo Chalé","03 - Meio de Hospedagem","https://www.vilarejomaresias.com.br",,,,Aguardando,
"SS0314","Villa Miracá","03 - Meio de Hospedagem","https://www.villamiraca.com.br",,,,Aguardando,
"SS0317","Villa'I Mare","03 - Meio de Hospedagem","https://www.villamare.com.br",,,,Aguardando,
"SS0110","Hotel Sambaqui","03 - Meio de Hospedagem","https://www.hotelsambaqui.com.br",,,,Aguardando,
"SS0298","Tiê Cama e Café","03 - Meio de Hospedagem","https://www.tiecamaecafe.com.br",,,,Aguardando,
"SS0322","Winner Beach Hotel","03 - Meio de Hospedagem","https://hotelwinnerbeach.com/",,,,Aguardando,
"SS0042","Casa D Aroeira","03 - Meio de Hospedagem","https://www.casadaroeira.com",,,,Aguardando,
"SS0572","Espaço Amar Casamentos","04 - Organizadora de Eventos","https://www.amarcasamentos.com.br",,,,Aguardando,
"SS0073","Flow Hostel","03 - Meio de Hospedagem","https://www.flowhostel.com.br",,,,Aguardando,
"SS0441","Green Way Brasil","11 - Prestador especializado em segmentos turístico","https://www.greenway.com.br",,,,Aguardando,
"SS0078","Hippocampus Juquehy Pousada","03 - Meio de Hospedagem","https://www.hippocampus.tur.br",,,,Aguardando,
"SS0079","Hiu Hotel","03 - Meio de Hospedagem","https://www.hiuhotel.com.br",,,,Aguardando,
"SS0122","Hotel Juquei Frente ao Mar","03 - Meio de Hospedagem","https://www.frenteaomar.com.br",,,,Aguardando,
"SS0104","Hotel Pousada Baobá","03 - Meio de Hospedagem","https://www.pousadabaoba.com.br",,,,Aguardando,
"SS0120","Juquehy La Plage Hotel","03 - Meio de Hospedagem","https://www.juquehylaplagehotel.com.br",,,,Aguardando,
"SS0121","Juquehy Praia Hotel","03 - Meio de Hospedagem","https://www.juquehypraia.com.br",,,,Aguardando,
"SS0119","Juqueí Beach Hotel","03 - Meio de Hospedagem","https://www.juqueihotel.com.br",,,,Aguardando,
"SS0943","Juqy Beach House","04 - Organizadora de Eventos","https://www.juqybeachhouse.com.br",,,,Aguardando,
"SS0132","Maison Chez Louise at Louis","03 - Meio de Hospedagem","https://www.louiselouis.com.br",,,,Aguardando,
"SS0141","Mata Atlântica Pousada","03 - Meio de Hospedagem","https://www.pousadamataatlantica.com.br",,,,Aguardando,
"SS0698","Mozebas Outside Bar","15 - Restaurante cafeteria bar e similares","https://mozebas.blogspot.com.br/",,,,Aguardando,
"SS0145","Montão do Trigo Hotel e Restaurante","03 - Meio de Hospedagem","https://www.pousadamontaodotrigo.com.br",,,,Aguardando,
"SS0161","Pousada Atobá Juquehy","03 - Meio de Hospedagem","https://www.pousadaatobajuquehy.com.br",,,,Aguardando,
"SS0166","Pousada Bico Verde","03 - Meio de Hospedagem","https://www.pousadabicoverde.com.br",,,,Aguardando,
"SS0182","Pousada Chalés da Lua Juquehy","03 - Meio de Hospedagem","https://www.chalesdaluajuquehy.com",,,,Aguardando,
"SS0192","Pousada do Almirante","03 - Meio de Hospedagem","https://www.pousadadoalmirante.com.br",,,,Aguardando,
"SS0201","Pousada Etoile","03 - Meio de Hospedagem","https://www.pousadaetoile.com.br",,,,Aguardando,
"SS0207","Pousada Irashai","03 - Meio de Hospedagem","https://www.pousadairashai.com.br",,,,Aguardando,
"SS0208","Pousada Jabuti","03 - Meio de Hospedagem","https://pousadajabutijuquehy.com.br/",,,,Aguardando,
"SS0216","Pousada Moryba","03 - Meio de Hospedagem","https://www.moryba.com.br",,,,Aguardando,
"SS0531","Pousada Pono Village","03 - Meio de Hospedagem","https://www.ponovillage.com",,,,Aguardando,
"SS0242","Pousada Sol e Mar","03 - Meio de Hospedagem","https://www.pousadasolemaremjuquehy.com.br",,,,Aguardando,
"SS0245","Pousada Terra","03 - Meio de Hospedagem","https://www.pousadaterra.com.br",,,,Aguardando,
"SS0250","Pousada Tupinambá","03 - Meio de Hospedagem","https://pousadatupinamba.com.br",,,,Aguardando,
"SS0258","Pousada Vila do Sol","03 - Meio de Hospedagem","https://pousadaviladosol.com.br/",,,,Aguardando,
"SS0261","Pousada Vila Juquehy","03 - Meio de Hospedagem","https://www.pousadavilajuquehy.com.br/",,,,Aguardando,
"SS0264","Pousada Vila Real","03 - Meio de Hospedagem","https://www.pousadavilareal.com.br",,,,Aguardando,
"SS0267","Pousada Villa Encanto","03 - Meio de Hospedagem","https://www.villaencanto.com.br",,,,Aguardando,
"SS0268","Pousada Villa Marítima","03 - Meio de Hospedagem","https://www.villamaritima.com.br",,,,Aguardando,
"SS0276","Recanto dos Tangarás","03 - Meio de Hospedagem","https://recantodostangaras.com.br",,,,Aguardando,
"SS0280","Recanto Verde Praia Hotel","03 - Meio de Hospedagem","https://www.recantoverdepraiahotel.com.br",,,,Aguardando,
"SS0966","Nippoke Maresias","15 - Restaurante cafeteria bar e similares","https://nippokemaresias.menudino.com",,,,Aguardando,
"SS0238","Rosa dos Ventos Juquehy","03 - Meio de Hospedagem","https://www.rosadosventosjuquehy.com.br",,,,Aguardando,
"SS0293","Solar do Parcel","03 - Meio de Hospedagem","https://www.solardoparcel.com.br",,,,Aguardando,
"SS0464","Surf's Up Club","11 - Prestador especializado em segmentos turístico","https://www.surfupclub.com",,,,Aguardando,
"SS0562","TF Eventos","12 - Prestador de Infraestrutura de apoio para eventos","https://www.tfeventos.com.br",,,,Aguardando,
"SS0299","Tô na Praia Juquehy","03 - Meio de Hospedagem","https://www.pousadatonapraiajuquehy.com.br",,,,Aguardando,
"SS0504","Marea Turismo Nautico","08 - Empreendimento de Apoio ao Turismo Náutico ou à Pesca Desportiva","https://www.mareaturismonautico.com.br",,,,Aguardando,
"SS0574","Flow Desenvolvimento Sustentável","04 - Organizadora de Eventos","https://www.flowsustentavel.com.br",,,,Aguardando,
"SS0571","Costa Norte Aventuras","04 - Organizadora de Eventos","https://www.costanorteaventuras.com.br",,,,Aguardando,
"SS0349","Gonçalves Turismo","02 - Agência de Turismo","https://www.goncalvesturismo.tur.br",,,,Aguardando,
"SS0018","Ana Doce Pousada","03 - Meio de Hospedagem","https://www.pousadaanadoce.com.br",,,,Aguardando,
"SS0347","Fragatas Viagens e Turismo","02 - Agência de Turismo","https://www.fragatas.com.br",,,,Aguardando,
"SS0085","Hostel Central","03 - Meio de Hospedagem","https://www.hostelcentralsaosebastiao.com.br",,,,Aguardando,
"SS0106","Hotel Pousada Garoupas","03 - Meio de Hospedagem","https://www.pousadagaroupas.com.br",,,,Aguardando,
"SS0109","Hotel Roma","03 - Meio de Hospedagem","https://www.hotelroma.tur.br",,,,Aguardando,
"SS0734","Pizzaria da Vila","15 - Restaurante cafeteria bar e similares","https://www.davilapizzaria.com.br",,,,Aguardando,
"SS0183","Pousada da Banda","03 - Meio de Hospedagem","https://www.pousadadabanda.com.br",,,,Aguardando,
"SS0188","Pousada da Sesmaria","03 - Meio de Hospedagem","https://www.pousadadasesmaria.com.br",,,,Aguardando,
"SS0195","Pousada do Ipê","03 - Meio de Hospedagem","https://www.pousadaipesaosebastiao.com.br",,,,Aguardando,
"SS0959","Proa Restaurante","15 - Restaurante cafeteria bar e similares","https://www.hubt.com.br/proarestaurante/",,,,Aguardando,
"SS0754","Quiosque Lima Limão","15 - Restaurante cafeteria bar e similares","https://quiosquelimalimao.wordpress.com",,,,Aguardando,
"SS0583","RS Náutica","08 - Empreendimento de Apoio ao Turismo Náutico ou à Pesca Desportiva","https://www.rsnautica.com.br",,,,Aguardando,
"SS0763","Restaurante Amigos TPC","15 - Restaurante cafeteria bar e similares","https://tebarpraiaclube.com.br",,,,Aguardando,
"SS0835","Stylo Lava Rápido e Estacionamento","16 - Outros","https://www.stylolavarapido.com.br",,,,Aguardando,
"SS0764","Restaurante Antigas","15 - Restaurante cafeteria bar e similares","https://www.restauranteantigas.com.br",,,,Aguardando,
"SS0515","Tebar Praia Clube","14 - Parque aquático e empreendimentos de lazer","https://www.tebarpraiaclube.com.br",,,,Aguardando,
"SS0533","Ciranda de Dois","12 - Prestador de Infraestrutura de apoio para eventos","https://www.cirandadedois.com.br",,,,Aguardando,
"SS0771","Restaurante Canoa Barra do Una","15 - Restaurante cafeteria bar e similares","https://canoa.com.br",,,,Aguardando,
"SS0023","Armação de Camburi","03 - Meio de Hospedagem","https://www.pousadaarmacao.com.br",,,,Aguardando,
"SS0027","Azul Banana - Camburi","03 - Meio de Hospedagem","https://www.azulbanana.com.br",,,,Aguardando,
"SS0030","Beach Hotel Cambury","03 - Meio de Hospedagem","https://www.Camburihotel.com.br",,,,Aguardando,
"SS0032","Beach Hotel Sunset","03 - Meio de Hospedagem","https://www.sunsethotel.com.br/",,,,Aguardando,
"SS0941","Beach Hotel Villas","03 - Meio de Hospedagem","https://www.beachhotelvillas.com.br",,,,Aguardando,
"SS0002","Camping Camburi","01 - Acampamento Turístico","https://www.campingcamburi.com.br",,,,Aguardando,
"SS0041","Casa Bacarirá","03 - Meio de Hospedagem","https://www.casabacarira.com.br",,,,Aguardando,
"SS0045","Casa do Pescador","03 - Meio de Hospedagem","https://casadopescador2.webnode.com/",,,,Aguardando,
"SS0050","Chalés do Camburi","03 - Meio de Hospedagem","https://www.chalesdocamburi.com.br",,,,Aguardando,
"SS0056","Coco Bambu","03 - Meio de Hospedagem","https://www.pousadacocobambu.com.br",,,,Aguardando,
"SS0338","Dreamsurf Travel","02 - Agência de Turismo","https://www.dreamsurftur.com.br",,,,Aguardando,
"SS0339","Eco Dynamic","02 - Agência de Turismo","https://www.ecodynamic.com.br",,,,Aguardando,
"SS0069","Estalagem Camburi","03 - Meio de Hospedagem","https://www.estalagemcamburi.com.br",,,,Aguardando,
"SS0071","Flat Camburi","03 - Meio de Hospedagem","https://www.flatcamburi.com.br",,,,Aguardando,
"SS0072","Flat Coqueiros","03 - Meio de Hospedagem","https://www.flatcoqueiros.com.br",,,,Aguardando,
"SS0093","Hotel Camburi Praia","03 - Meio de Hospedagem","https://www.hotelcamburipraia.com.br",,,,Aguardando,
"SS0113","Hotel Spa Nau Royal","03 - Meio de Hospedagem","https://www.nauroyal.com.br",,,,Aguardando,
"SS0127","Laika Hostel","03 - Meio de Hospedagem","https://www.laikahostel.com.br/",,,,Aguardando,
"SS0671","Paradiso Al Mare Pousada","03 - Meio de Hospedagem","https://www.paradisoalmare.com.br",,,,Aguardando,
"SS0171","Pousada Camburi","03 - Meio de Hospedagem","https://www.pousadacamburi.com.br",,,,Aguardando,
"SS0172","Pousada Camburizinho","03 - Meio de Hospedagem","https://www.pousadacamburizinho.com.br",,,,Aguardando,
"SS0174","Pousada Canto do Camburi","03 - Meio de Hospedagem","https://www.pousadacantodocamburi.com.br",,,,Aguardando,
"SS0187","Pousada da Morena","03 - Meio de Hospedagem","https://www.pousadadamorena.com.br",,,,Aguardando,
"SS0190","Pousada das Praias","03 - Meio de Hospedagem","https://www.pousadadaspraias.com.br",,,,Aguardando,
"SS0220","Pousada Náutica Camburioca","03 - Meio de Hospedagem","https://www.camburioca.com.br",,,,Aguardando,
"SS0226","Pousada Pinheiro","03 - Meio de Hospedagem","https://www.pousadadopinheirocamburi.com.br",,,,Aguardando,
"SS0227","Pousada Portal do Cacau","03 - Meio de Hospedagem","https://www.portaldocacau.com.br",,,,Aguardando,
"SS0255","Pousada Vila Atlântica Inn","03 - Meio de Hospedagem","https://www.vilaatlantica.com.br",,,,Aguardando,
"SS0257","Pousada Vila Camburi","03 - Meio de Hospedagem","https://www.vilaCamburi.com.br",,,,Aguardando,
"SS0266","Pousada Villa dos Manacás","03 - Meio de Hospedagem","https://www.villamanakas.com.br",,,,Aguardando,
